asset_path,filename,dimensions,bytes,referenced_by_index,purpose_or_note,source
assets/hiroshi_waterfront_date.jpg,hiroshi_waterfront_date.jpg,1672x941,408841,NO,,
assets/intimate_dinner_with_city_view.jpg,intimate_dinner_with_city_view.jpg,1672x941,226737,YES,,
assets/karaoke_vibes_in_a_cozy_lounge.jpg,karaoke_vibes_in_a_cozy_lounge.jpg,1672x941,328824,NO,,
assets/kenji_cafe_warmth.jpg,kenji_cafe_warmth.jpg,1536x1024,320335,YES,,
assets/kenji_character_card.jpg,kenji_character_card.jpg,1122x1402,270898,YES,,
assets/kenji_cherry_riverside_walk_couple.jpg,kenji_cherry_riverside_walk_couple.jpg,1672x941,366596,NO,,
assets/kenji_final_kiss_cherry.jpg,kenji_final_kiss_cherry.jpg,1672x941,333056,NO,,
assets/kenji_final_walk_good_friends.jpg,kenji_final_walk_good_friends.jpg,1672x941,366596,NO,,
assets/kenji_last_scene_talking_cherry.jpg,kenji_last_scene_talking_cherry.jpg,1672x941,366596,NO,,
assets/kenji_quiet_study.jpg,kenji_quiet_study.jpg,1672x941,311597,NO,,
assets/kenji_riverside_confession.jpg,kenji_riverside_confession.jpg,1672x941,295131,NO,,
assets/kenji_riverside_kiss_good_ending.jpg,kenji_riverside_kiss_good_ending.jpg,1672x941,333056,NO,,
assets/kenji_riverside_talking.jpg,kenji_riverside_talking.jpg,1672x941,366596,NO,,
assets/korean_restaurant_transition.jpg,korean_restaurant_transition.jpg,1672x941,408077,NO,,
assets/living_room_reflection.jpg,living_room_reflection.jpg,1672x941,266831,YES,,
assets/lonely_night_in_the_city.jpg,lonely_night_in_the_city.jpg,1672x941,391187,YES,,
assets/marcus_bittersweet_growth.jpg,marcus_bittersweet_growth.jpg,1672x941,329090,NO,,
assets/marcus_city_night_out.jpg,marcus_city_night_out.jpg,1672x941,311812,NO,,
assets/marcus_cozy_game_night.jpg,marcus_cozy_game_night.jpg,1672x941,333003,NO,,
assets/marcus_first_date_mall_gift.jpg,marcus_first_date_mall_gift.jpg,1672x941,347303,NO,,
assets/menu_locked_secret.jpg,menu_locked_secret.jpg,1672x941,447872,NO,,
assets/menu_locked_secret_jp.jpg,menu_locked_secret_jp.jpg,1672x941,400294,NO,,
assets/menu_unlocked_kenji.jpg,menu_unlocked_kenji.jpg,1672x941,407097,YES,,
assets/menu_unlocked_kenji_jp.jpg,menu_unlocked_kenji_jp.jpg,1672x941,414277,YES,,
assets/new_uploads__tommy_family_dinner_pov_latest.jpg,new_uploads__tommy_family_dinner_pov_latest.jpg,1536x864,515370,NO,Tommy family dinner / eating with family image,/mnt/data/ghostwriter_images/context/a838df1b-7a33-59ba-995e-dda076a3b30c.png
assets/noir_vibes_in_osaka_alley.jpg,noir_vibes_in_osaka_alley.jpg,1672x941,367306,NO,,
assets/quiet_study_in_warm_light.jpg,quiet_study_in_warm_light.jpg,1672x941,311597,NO,,
assets/rainy_evening_at_the_train_station.jpg,rainy_evening_at_the_train_station.jpg,1672x941,458336,NO,,
assets/rainy_night_at_kyoto_station.jpg,rainy_night_at_kyoto_station.jpg,1672x941,431708,NO,,
assets/rainy_night_at_the_train_station.jpg,rainy_night_at_the_train_station.jpg,1672x941,464637,NO,,
assets/rainy_night_in_the_city.jpg,rainy_night_in_the_city.jpg,1672x941,412856,YES,,
assets/ren_after_tommy_fight_motorcycle.jpg,ren_after_tommy_fight_motorcycle.jpg,1672x941,374647,YES,,
assets/ren_apartment_exterior_night.jpg,ren_apartment_exterior_night.jpg,1672x941,234236,YES,,
assets/ren_cherry_blossom_date_alt.jpg,ren_cherry_blossom_date_alt.jpg,1672x941,410796,NO,,
assets/ren_cherry_blossom_date_new.jpg,ren_cherry_blossom_date_new.jpg,1672x941,447449,NO,,
assets/ren_cherry_blossom_kiss.jpg,ren_cherry_blossom_kiss.jpg,1672x941,367685,NO,,
assets/ren_cherry_blossom_kiss_new.jpg,ren_cherry_blossom_kiss_new.jpg,1672x941,360246,NO,,
assets/ren_doctor_hallway.jpg,ren_doctor_hallway.jpg,1672x941,306852,YES,,
assets/ren_ferris_wheel_close_new.jpg,ren_ferris_wheel_close_new.jpg,1672x941,457215,NO,,
assets/ren_ferris_wheel_closeup_latest.jpg,ren_ferris_wheel_closeup_latest.jpg,1672x941,295167,NO,,
assets/ren_festival_solo_invite.jpg,ren_festival_solo_invite.jpg,1672x941,285316,NO,,
assets/ren_k_university_festival_girlfriend.jpg,ren_k_university_festival_girlfriend.jpg,1672x941,351384,NO,,
